id,task,answer,solution,files
10,"Answer the following question:
In July 2, 1959 United States standards for grades of processed fruits, vegetables, and certain other products listed as dehydrated, consider the items in the ""dried and dehydrated section"" specifically marked as dehydrated along with any items in the Frozen/Chilled section that contain the whole name of the item, but not if they're marked Chilled. As of August 2023, what is the percentage (to the nearest percent) of those standards that have been superseded by a new version since the date given in the 1959 standards?",86,"1. Searched ""July 2, 1959 United States standards for grades of processed fruits, vegetables, and certain other products"" on Google.
2. Opened https://upload.wikimedia.org/wikipedia/commons/0/06/United_States_standards_for_grades_of_processed_fruits%2C_vegetables%2C_and_certain_other_products_%28as_of_July_2%2C_1959%29_%28IA_unitedstatesstan14unit_4%29.pdf.
3. Scrolled to the ""DRIED or DEHYDRATED"" section.
4. Opened a new tab and searched ""united states standards for grades of dehydrated apples"".
5. Opened https://www.ams.usda.gov/grades-standards/dehydrated-apples-grades-and-standards.
6. Opened the ""U.S. Grade Standards for Dehydrated Apples (pdf)"" PDF.
7. Checked the date against the 1959 standards.
8. Repeated steps 4-7 for all dehydrated items in the ""DRIED or DEHYDRATED"" section:
9. Grapefruit Juice, updated (running tally: 2/2)
10. Orange Juice, updated (running tally: 3/3)
11. Found all versions of the dehydrated items in Frozen or Chilled, except those marked Chilled: Apples; Grapefruit Juice, Concentrated; Grapefruit Juice and Orange Juice, Concentrated, Blended; Orange Juice, Concentrated
12. Repeated steps 4-7 all those versions:
13. Apples, not updated (running tally: 3/4)
14. Grapefruit Juice, Concentrated, updated (running tally: 4/5)
15. Grapefruit Juice and Orange Juice, Concentrated, Blended, updated (running tally: 5/6)
16. Orange Juice, Concentrated, updated (running tally: 6/7)
17. Calculated the percentage (6 / 7 * 100% = 85.7%).
18. Rounded to the nearest percent (86%).",
11,"Answer the following question:
Using the Biopython library in Python, parse the PDB file of the protein identified by the PDB ID 5wb7 from the RCSB Protein Data Bank. Calculate the distance between the first and second atoms as they are listed in the PDB file. Report the answer in Angstroms, rounded to the nearest picometer.",1.456,"1. Search the web for ""PDB ID 5wb7""
2. Navigate to https://www.rcsb.org/structure/5wb7 from the search results page
3. Download the PDB file from the landing page.
4. Process the PDB file using Python and Biopython to calculate the distance between the first two atoms listed in the file. (1.4564234018325806 Å)
from Bio.PDB import PDBParser
parser = PDBParser()
structure = parser.get_structure(""5wb7"", ""5wb7.pdb"")
for atom in structure.get_atoms():
    atom1 = atom
    break
for atom in structure.get_atoms():
    if atom != atom1:
        atom2 = atom
        break
distance = atom1 - atom2
print(f""{distance}"")
5. Round the result to the nearest picometer (1.456)",7dd30055-0198-452e-8c25-f73dbe27dcb8.pdb
12,"Answer the following question:
What are the EC numbers of the two most commonly used chemicals for the virus testing method in the paper about SPFMV and SPCSV in the Pearl Of Africa from 2016? Return the semicolon-separated numbers in the order of the alphabetized chemicals.",3.1.3.1; 1.11.1.7,"1. Searched ""Pearl of Africa"" on Google.
2. Noted the answer from the results.
3. Searched ""SPFMV and SPCSV in Uganda 2016 paper"" on Google.
4. Opened ""Effects of Sweet Potato Feathery Mottle Virus and ..."" at https://onlinelibrary.wiley.com/doi/full/10.1111/jph.12451.
5. Found the section on virus testing.
6. Searched ""most commonly used chemicals for ELISA"" on Google.
7. Noted horseradish peroxidase and alkaline phosphatase from the results.
8. Searched ""horseradish peroxidase EC number"" on Google.
9. Noted the answer from the featured text snippet (1.11.1.7).
10. Searched ""alkaline phosphatase EC number"" on Google.
11. Noted the answer from the featured text snippet (3.1.3.1).
12. Alphabetized the chemicals.
13. Put the numbers in the order of the chemicals.",
13,"Answer the following question:
In April of 1977, who was the Prime Minister of the first place mentioned by name in the Book of Esther (in the New International Version)?",Morarji Desai,"1. Search the web for “Book of Esther NIV”.
2. Click search result to read the text of the first chapter.
3. Note the first place named, India.
4. Search the web for “prime ministers of India list”.
5. Click Wikipedia result.
6. Scroll down to find the prime minister during the specified timeframe, Morarji Desai.",
14,"Answer the following question:
What's the last line of the rhyme under the flavor name on the headstone visible in the background of the photo of the oldest flavor's headstone in the Ben & Jerry's online flavor graveyard as of the end of 2022?",So we had to let it die.,"1. Searched ""ben and jerrys flavor graveyard"" on Google search.
2. Opened ""Flavor Graveyard"" on www.benjerry.com.
3. Opened each flavor to find the oldest one (Dastardly Mash).
4. Deciphered the blurry name on the headstone behind it (Miz Jelena's Sweet Potato Pie).
5. Scrolled down to Miz Jelena's Sweet Potato Pie.
6. Copied the last line of the rhyme.
7. (Optional) Copied the URL.
8. Searched ""internet archive"" on Google search.
9. Opened the Wayback Machine.
10. Entered the URL.
11. Loaded the last 2022 page.
12. Confirmed the information was the same.",
15,"Answer the following question:
Use density measures from the chemistry materials licensed by Marisa Alviar-Agnew & Henry Agnew under the CK-12 license in LibreText's Introductory Chemistry materials as compiled 08/21/2023.

I have a gallon of honey and a gallon of mayonnaise at 25C. I remove one cup of honey at a time from the gallon of honey. How many times will I need to remove a cup to have the honey weigh less than the mayonaise? Assume the containers themselves weigh the same.",6,"1. Search ""LibreText density mayonnaise""
2. Click result, confirm the correct license.
3. Search ""cm^3 to 1 cup""
4. Use results with density measures to form the equation (16*236.588)(1.420 - 0.910)/(236.588*1.420)
5. Round up",
16,"Answer the following question:
What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""",0.1777,"1. Searched '""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""' on Google.
2. Opened ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"" at https://journals.le.ac.uk/ojs1/index.php/jist/article/view/733.
3. Clicked ""PDF"".
4. Found the calculations for the volume of the fish bag and noted them.",
17,"Answer the following question:
What is the average number of pre-2020 works on the open researcher and contributor identification pages of the people whose identification is in this file?",26.4,"1. Opened the JSONLD file.
2. Opened each ORCID ID.
3. Counted the works from pre-2022.
4. Took the average: (54 + 61 + 1 + 16 + 0) / 5 = 132 / 5 = 26.4.",bec74516-02fc-48dc-b202-55e78d0e17cf.jsonld
18,"Answer the following question:
In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?",3,"1. Navigate to the YouTube link.
2. Watch the video to see the highest number of bird species.
3. Note the number.",
19,"Answer the following question:
Of the authors (First M. Last) that worked on the paper ""Pie Menus or Linear Menus, Which Is Better?"" in 2015, what was the title of the first paper authored by the one that had authored prior papers?",Mapping Human Oriented Information to Software Agents for Online Systems Usage,"1. Searched ""Pie Menus or Linear Menus, Which Is Better?"" on Google.
2. Opened ""Pie Menus or Linear Menus, Which Is Better?"" on https://oda.oslomet.no/oda-xmlui/handle/10642/3162.
3. Clicked each author's name.
4. Noted the name that had no other papers listed.
5. Searched ""Murano, Pietro"" on Google.
6. Opened http://www.pietromurano.org/.
7. Clicked ""Publications"".
8. Found the earliest paper he contributed to.",
20,"Answer the following question:
When you take the average of the standard population deviation of the red numbers and the standard sample deviation of the green numbers in this image using the statistics module in Python 3.11, what is the result rounded to the nearest three decimal points?",17.056,"1. Opened the PNG file.
2. Made separate lists of the red numbers and green numbers.
3. Opened a Python compiler.
4. Ran the following code:
```
import statistics as st
red = st.pstdev([24, 74, 28, 54, 73, 33, 64, 73, 60, 53, 59, 40, 65, 76, 48, 34, 62, 70, 31, 24, 51, 55, 78, 76, 41, 77, 51])
green = st.stdev([39, 29, 28, 72, 68, 47, 64, 74, 72, 40, 75, 26, 27, 37, 31, 55, 44, 64, 65, 38, 46, 66, 35, 76, 61, 53, 49])
avg = st.mean([red, green])
print(avg)
```
5. Rounded the output.",df6561b2-7ee5-4540-baab-5095f742716a.png
21,"Answer the following question:
Assuming scientists in the famous youtube video The Thinking Machine (Artificial Intelligence in the 1960s) were interviewed the same year, what is the name of the scientist predicting the sooner thinking machines or robots? Answer using the format First name Last name",Claude Shannon,"1. Search ""The Thinking Machine (Artificial Intelligence in the 1960s)"" and open the YouTube result
2. Listen to the video.
3. Search for a transcript to confirm, due to struggling to feel confident in my answer.
4. Fail to find a transcript.
5. Watch again, finding again that Claude Shannon predicted AI in 5-10 years, which is the soonest.",
22,"Answer the following question:
In Series 9, Episode 11 of Doctor Who, the Doctor is trapped inside an ever-shifting maze. What is this location called in the official script for the episode? Give the setting exactly as it appears in the first scene heading.",THE CASTLE,"1. Search the web for “Doctor Who series 9 episode 11 official script”.
2. Click result on the BBC website.
3. Scroll through the PDF to read the script, noting that it takes place in a mechanical castle location.
4. Scroll back to the first scene heading to note the answer, THE CASTLE",
23,"Answer the following question:
In terms of geographical distance between capital cities, which 2 countries are the furthest from each other within the ASEAN bloc according to wikipedia? Answer using a comma separated list, ordering the countries by alphabetical order.","Indonesia, Myanmar","1. Search the web for ""ASEAN bloc"".
2. Click the Wikipedia result for the ASEAN Free Trade Area.
3. Scroll down to find the list of member states.
4. Click into the Wikipedia pages for each member state, and note its capital.
5. Search the web for the distance between the first two capitals. The results give travel distance, not geographic distance, which might affect the answer.
6. Thinking it might be faster to judge the distance by looking at a map, search the web for ""ASEAN bloc"" and click into the images tab.
7. View a map of the member countries. Since they're clustered together in an arrangement that's not very linear, it's difficult to judge distances by eye.
8. Return to the Wikipedia page for each country. Click the GPS coordinates for each capital to get the coordinates in decimal notation.
9. Place all these coordinates into a spreadsheet.
10. Write formulas to calculate the distance between each capital.
11. Write formula to get the largest distance value in the spreadsheet.
12. Note which two capitals that value corresponds to: Jakarta and Naypyidaw.
13. Return to the Wikipedia pages to see which countries those respective capitals belong to: Indonesia, Myanmar.",
24,"Answer the following question:
In the NCATS PubChem compound database for Food Additive Status classification, find the compound that has a molecular weight of 100 g/mol or less, 6 heavy atoms, 1 or fewer hydrogen bond acceptors, and a complexity between 10 and 15. Of the shared gene-chemical co-occurrences between its two possible enzyme transformations, what is the PubChem CID of the heaviest by molecular weight?",4192,"1. Searched ""NCATS PubChem compound database"" on Google.
2. Opened ""PubChem"" on the NCATS NIH website.
3. Clicked on the ""PubChem Compound"" link.
4. Clicked on the ""Classification Browser"" link.
5. Expanded ""Food Additives and Ingredients"" in the list.
6. Clicked on the number link next to ""Food Additive Status"".
7. Opened the filters and set them to maximum 100 g/mol weight, minimum 6 heavy atoms, maximum 1 H-bond acceptor, complexity 10-15.
8. Opened the resulting ""HEXANE"" page.
9. Scrolled to 10.6 Pharmacology and Biochemistry > Transformations.
10. Opened the two enzyme transformations' pages (CYP2B6 and CYP2E1).
11. Opened each one's gene-chemical co-occurrences full list.
12. Opened each chemical they shared a co-occurrence with.
13. Compared the weights to find the heaviest (Midazolam).
14. Noted its PubChem CID (4192).",
25,"Answer the following question:
I need to fact-check a citation. This is the citation from the bibliography:

Greetham, David. ""Uncoupled: OR, How I Lost My Author(s)."" Textual Cultures: Texts, Contexts, Interpretation, vol. 3 no. 1, 2008, p. 45-46. Project MUSE, doi:10.2979/tex.2008.3.1.44.

And this is the in-line citation:

Our relationship with the authors of the works we read can often be “obscured not by a ""cloak of print"" but by the veil of scribal confusion and mis-transmission” (Greetham 45-46).

Does the quoted text match what is actually in the article? If Yes, answer Yes, otherwise, give me the word in my citation that does not match with the correct one (without any article).",cloak,"1. Search the web for “greetham uncoupled project muse”.
2. Click result, an article that matches the given citation.
3. Ctrl-F for “obscured”.
4. Find the quote from the question, which describes a “veil of print”, not a cloak.
5. Express the answer in the specified format, No.",
26,"Answer the following question:
Which contributor to the version of OpenCV where support was added for the Mask-RCNN model has the same name as a former Chinese head of government when the names are transliterated to the Latin alphabet?",Li Peng,"1. Use search engine to search for ""OpenCV change log"".
2. Open the top result from GitHub and search the page for ""Mask-RCNN"".
3. Observe that support for Mask-RCNN model was added in OpenCV version 4.0.0.
4. Expand the two lists of contributors for version 4.0.0.
5. Go to the Wikipedia page for head of government. 
6. Scan through and note that for China, the head of government is the premier.
7. Go to the Wikipedia page for premier of the People's Republic of China.
8. Go to the linked page for List of premiers of the People's Republic of China.
9. Compare the list of OpenCV version 4.0.0 contributors' names and the list of premiers of China to find that Li Peng is present in both lists.",
27,"Answer the following question:
What integer-rounded percentage of the total length of the harlequin shrimp recorded in Omar Valencfia-Mendez 2017 paper was the sea star fed to the same type of shrimp in G. Curt Fiedler's 2002 paper?",22,"1. Searched ""Omar Valencfia-Mendez 2017 shrimp paper"" on Google.
2. Opened ""Decapoda: Palaemonidae: Hymenocera picta Dana, 1852) ..."" on https://www.threatenedtaxa.org/index.php/JoTT/article/view/3238.
3. Clicked ""PDF/A"".
4. Found the length of the recorded shrimp as TL in the paper (4.5cm).
5. Searched ""G. Curt Fiedler 2002 shrimp paper"" on Google.
6. Opened ""(PDF) The influence of social environment on sex ..."" on https://www.researchgate.net/publication/232696279_The_influence_of_social_environment_on_sex_determination_in_harlequin_shrimp_Hymenocera_picta_Decapoda_Gnathophyllidae.
7. Found the size of the sea star fed to the shrimp (1cm).
8. Took the percentage (1 / 4.5 * 100% = 22.22222%).
9. Rounded to the nearest integer (22%).",
28,"Answer the following question:
An office held a Secret Santa gift exchange where each of its twelve employees was assigned one other employee in the group to present with a gift. Each employee filled out a profile including three likes or hobbies. On the day of the gift exchange, only eleven gifts were given, each one specific to one of the recipient's interests. Based on the information in the document, who did not give a gift?",Fred,"1. Open the document.
2. Look at gifts and recipient interests.
3. Match Galileo Galilei biography (could apply to astronomy or books -> Miguel or Micah)
4. Match fishing reel (only applies to fishing -> Harry)
5. Match Raku programming guide (Perl language, but could also apply to JavaScript enthusiast - > Fred or Jun)
6. Match chisel set (could apply to camping or woodworking, but Harry is already fulfilled -> Jun, so Raku guide is for Fred)
7. Match custom dice (could apply to board games or tabletop RPGs -> Lucy or Sara)
8. Match “War and Peace” American film copy (could apply to old movies or Audrey Hepburn -> Perry or Alex)
9. Match yarn (only applies to knitting -> Micah, so the Galileo biography is for Miguel)
10. Match ""One Piece"" graphic novel (could apply to books or manga, but Micah already has yarn -> Alex, so the ""War and Peace"" film is for Perry)
11. Match ""War and Peace"" novel (could apply to books or historical fiction novels, but Micah has yarn -> Tyson)
12. Match Starbucks gift card (only applies to coffee -> Lucy, so the dice are for Sara)
13. Match foam exercise mat (only applies to yoga -> Georgette)
14. Note which recipients have gifts (Miguel, Harry, Fred, Jun, Sara, Perry, Micah, Alex, Tyson, Lucy, Georgette) and which does not (Rebecca).
15. Find who was supposed to give Rebecca a gift (Fred).",cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb.docx
29,"Answer the following question:
What is the maximum length in meters of #9 in the first National Geographic short on YouTube that was ever released according to the Monterey Bay Aquarium website? Just give the number.",1.8,"1. Searched ""National Geographic YouTube"" on Google search.
2. Opened the National Geographic YouTube channel.
3. Clicked ""Shorts"".
4. Watched the oldest short (""Which shark species is the most massive? #SharkFest #Shorts"") and noted #9 (Blacktip Reef).
5. Searched ""blacktip reef monterey bay aquarium"" on Google search.
6. Opened ""Blacktip reef shark"" on the Monterey Bay Aquarium website and noted the maximum length.",
30,"Answer the following question:
What two-word type of model did Manash Pratim Kashyap's and PS Fader's studies in customer retention studies published during 2018-2019 have in common (no punctuation)?",beta geometric,"1. Searched ""Manash Pratim Kashyap customer retention"" on Google.
2. Opened https://www.journalijar.com/article/26843/a-simple-model-for-analyzing-the-customer-retention-comparing-rural-and-urban-store/.
3. Noted ""discrete time beta geometric model"" in the abstract.
4. Searched ""PS Fader customer retention"" on Google.
5. Opened https://www.sciencedirect.com/science/article/abs/pii/S1094996807700233.
6. Noted ""basic model (known as a “shifted-beta-geometric”)"" in the abstract.
7. Extracted the two words in common.",
31,"Answer the following question:
What animals that were mentioned in both Ilias Lagkouvardos's and Olga Tapia's papers on the alvei species of the genus named for Copenhagen outside the bibliographies were also present in the 2021 article cited on the alvei species' Wikipedia page about a multicenter, randomized, double-blind study?",mice,"1. Searched ""alvei copenhagen"" on Google.
2. Opened https://en.wikipedia.org/wiki/Hafnia_(bacterium).
3. Searched ""Ilias Lagkouvardos hafnia alvei"" on Google.
4. Opened https://www.mdpi.com/2076-2607/11/1/123?type=check_update&version=2.
5. Opened a new tab.
6. Searched ""Olga Tapia hafnia alvei"" on Google.
7. Opened https://pubmed.ncbi.nlm.nih.gov/36080356/.
8. Found all animals mentioned in the first paper.
9. Searched each animal from the first paper in the second paper.
10. Noted the animals mentioned in both outside the bibliographies.
11. Went back to the Wikipedia article.
12. Opened the link in the references to ""The Probiotic Strain H. alvei HA4597® Improves Weight Loss in Overweight Subjects under Moderate Hypocaloric Diet: A Proof-of-Concept, Multicenter Randomized, Double-Blind Placebo-Controlled Study"".
13. Opened the PDF.
14. Found the animals shared by all three papers.",
32,"Answer the following question:
How many High Energy Physics - Lattice articles listed in January 2020 on Arxiv had ps versions available?",31,"1. Searched ""arxiv"" on Google.
2. Opened the top result of https://arxiv.org/.
3. Opened the High Energy Physics - Lattice section.
4. Set the date to 2020 January.
5. Counted the number of articles with ""ps"" formats available on each page.
6. Added the numbers from each page to get the total.",
33,"Answer the following question:
The photograph in the Whitney Museum of American Art's collection with accession number 2022.128 shows a person holding a book. Which military unit did the author of this book join in 1813? Answer without using articles.",Russian-German Legion,"1. Use search engine to search for ""Whitney Museum of American Art collection search"".
2. Go to the Whitney Museum's collection search webpage.
3. Enter 2022.128 in the search box and submit the search.
4. Open the single result, titled ""Rain in Rifle Season, Distributions from Split-Interest Trusts, Price Includes Uniform, Never Hit Soft, 2003"".
5. Verify that this photograph has the correct accession number.
6. Note that the subject of the photograph is holding the book ""On War"", by Carl von Clausewitz.
7. Go to the Wikipedia page for Carl von Clausewitz.
8. Search the page for 1813 to find that Carl von Clausewitz joined the Russian-German Legion in 1813.
9. Go to the Wikipedia page for Russian-German Legion to verify that this was a military unit.",
34,"Answer the following question:
.rewsna eht sa ""tfel"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI",Right,1. Read the instructions in reverse,
35,"Answer the following question:
What is the minimum number of page links a person must click on to go from the english Wikipedia page on The Lord of the Rings (the book) to the english Wikipedia page on A Song of Ice and Fire (the book series)? In your count, include each link you would click on to get to the page. Use the pages as they appeared at the end of the day on July 3, 2023.",2,"1. Search the web for “lord of the rings wikipedia”.
2. Click on Wikipedia result.
3. Click “View history” to see if the page has been edited since July 3, 2023.
4. Since it hasn’t been, return to the current revision.
5. Ctrl-F for “song” to see if A Song of Ice and Fire is linked to on this page.
6. Not seeing A Song of Ice and Fire on the current page, search for a link to a page that will likely mention A Song of Ice and Fire.
7. Click the link for “High fantasy”.
8. Click “View history” to see if the page has been edited since July 3, 2023.
9. Since it hasn’t been, return to the current revision.
10. Ctrl-F for “song”, and find a link to A Song of Ice and Fire.
11. Count the links: the High fantasy page and the A Song of Ice and Fire page make two.",
36,"Answer the following question:
Each cell in the attached spreadsheet represents a plot of land. The color of the cell indicates who owns that plot. Green cells are plots owned by Earl Smith. Can Earl walk through every plot he owns (and no other plots) and return to his starting plot without backtracking? For this question, consider backtracking to be any instance where Earl would enter a plot of land he had already entered since leaving his starting plot.",No,"1. Open the spreadsheet
2. Analyze the green cells.
3. Note that the shape of Earl’s plots is not a loop. There are dead-ends that can’t be traversed without doubling back to a previously-traversed cell.",5cfb274c-0207-4aa7-9575-6ac0bd95d9b2.xlsx
37,"Answer the following question:
Which of the text elements under CATEGORIES in the XML would contain the one food in the spreadsheet that does not appear a second time under a different name?",Soups and Stews,"1. Open the spreadsheet.
2. Go through each item, eliminating ones that have duplicates under a different name (e.g. clam = geoduck, sandwich = hoagie, dried cranberries = craisins...).
3. (Optional) Look up any unrecognizable food names.
4. Note the remaining unique food (turtle soup).
5. Open the XML.
6. Find the CATEGORIES label.
7. Note the matching text element for the food (Soups and Stews).",9b54f9d9-35ee-4a14-b62f-d130ea00317f.zip
