agent_name,model_name,eval_name,chunk_size,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
react-c9,gpt-4.1-mini,simple-qa-10,9,10,6.0,4,0,0.6,6.0,74,378212,6167,384379,0.3025696,0.0197344,0.322304,240.22342658042908,0.6,0.081081081081081,1.560959365626114e-05
react-c9,gpt-4.1-mini,simple-qa-100,9,100,79.0,21,0,0.79,79.0,518,2255008,36805,2291813,1.8040064,0.117776,1.9217824,1543.8094503879547,0.79,0.1525096525096525,3.447052617294692e-05
react-k1,gpt-4.1-mini,debug-search-web-1,1,1,0.0,1,0,0.0,0.0,10,17269,624,17893,0.0138152,0.0019968,0.015812,27.2138774394989,0.0,0.0,0.0
react-k10,gpt-4.1-mini,debug-search-web-1,10,1,1.0,0,0,1.0,1.0,5,13190,361,13551,0.010552,0.0011552,0.0117072,13.344561576843262,1.0,0.2,7.379529186037931e-05
react-k2,gpt-4.1-mini,debug-search-web-1,2,1,0.0,1,0,0.0,0.0,10,26905,829,27734,0.021524,0.0026528,0.0241768,30.59294581413269,0.0,0.0,0.0
react-k3,gpt-4.1-mini,debug-search-web-1,3,1,1.0,0,0,1.0,1.0,7,14840,509,15349,0.011872,0.0016288,0.0135008,17.335510969161987,1.0,0.1428571428571428,6.515082415792559e-05
react-k4,gpt-4.1-mini,debug-search-web-1,4,1,1.0,0,0,1.0,1.0,6,12732,404,13136,0.0101856,0.0012928,0.0114784,15.477033376693726,1.0,0.1666666666666666,7.61266747868453e-05
react-k5,gpt-4.1-mini,debug-search-web-1,5,1,1.0,0,0,1.0,1.0,8,32458,597,33055,0.0259664,0.0019104,0.0278768,22.021068811416622,1.0,0.125,3.025260928755105e-05
react-k6,gpt-4.1-mini,debug-search-web-1,6,1,1.0,0,0,1.0,1.0,5,11038,331,11369,0.0088304,0.0010592,0.0098896,12.984403610229492,1.0,0.2,8.795848359574281e-05
react-k7,gpt-4.1-mini,debug-search-web-1,7,1,1.0,0,0,1.0,1.0,5,11186,345,11531,0.0089488,0.001104,0.0100528,15.175084352493286,1.0,0.2,8.67227473766369e-05
react-k8,gpt-4.1-mini,debug-search-web-1,8,1,1.0,0,0,1.0,1.0,5,11321,320,11641,0.0090568,0.001024,0.0100808,12.661785364151,1.0,0.2,8.590327291469805e-05
react-k9,gpt-4.1-mini,debug-search-web-1,9,1,1.0,0,0,1.0,1.0,5,12711,416,13127,0.0101688,0.0013312,0.0115,13.843684673309326,1.0,0.2,7.617886798202179e-05
