agent_name,model_name,eval_name,chunk_size,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,question,stop_time
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,Second Empire style,"""Second Empire""",1.0,4,13655,261,13916,0.010924000000000001,0.0008352,0.011759200000000001,1758655194.4985855,,11.035619258880615,0.25,7.185972980741592e-05,,10,Answer the following question:,"What is the architectural style of the Odd Fellows Hall building in Eureka, California?",1758655205.5342047
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,September 1989,"""September 1989""",1.0,3,6110,221,6331,0.004888,0.0007072000000000001,0.0055952,1758655206.5442498,,8.776208400726318,0.3333333333333333,0.000157952930026852,,11,Answer the following question:,"In what month and year was Nikolai Talyzin dismissed from Nikolai Ryzhkov's government, along with many other conservatives, during the period of perestroika?",1758655215.3204582
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,13 May 2004,"""May 13, 2004""",1.0,5,15170,301,15471,0.012136000000000001,0.0009632,0.013099200000000002,1758655216.3320718,,13.573127508163452,0.2,6.46370628918622e-05,,12,Answer the following question:,"What day, month, and year was David Crombie appointed an Officer of the Order of Canada?",1758655229.9051993
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,Ahmedabad,"""Ahmedabad""",1.0,3,6160,172,6332,0.004928,0.0005504,0.0054784000000000005,1758655230.9229987,,7.816177129745483,0.3333333333333333,0.00015792798483891344,,13,Answer the following question:,In which city in India is the flyover bridge named after Sam Manekshaw?,1758655238.7391758
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,12,"""12""",1.0,3,5962,303,6265,0.004769600000000001,0.0009696,0.005739200000000001,1758655239.7524765,,10.761048316955566,0.3333333333333333,0.0001596169193934557,,14,Answer the following question:,"What total number of newly discovered pieces of music by Maddalena Casulana were played for the first time in 400 years on March 8, 2022, as part of BBC Radio 3's programming for International Women's Day?",1758655250.5135248
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,Garfield,"""Garfield""",1.0,3,6241,199,6440,0.0049928,0.0006368000000000001,0.0056296,1758655251.53623,,8.553404331207275,0.3333333333333333,0.00015527950310559007,,15,Answer the following question:,What is the surname of the individual who won the Herman Skolnik Award in 1977?,1758655260.0896344
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,1586,"""1586""",1.0,3,6289,143,6432,0.0050312,0.00045760000000000006,0.0054888,1758655261.0996444,,6.883531332015991,0.3333333333333333,0.0001554726368159204,,16,Answer the following question:,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1758655267.9831758
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,September 2022,"""September 2022""",1.0,3,5523,208,5731,0.0044184,0.0006656,0.005084,1758655268.9975638,,8.58682918548584,0.3333333333333333,0.00017448961786773688,,17,Answer the following question:,"In which month and year was Hakyung Lee, the mother of the children whose bodies were found in a suitcase in New Zealand, arrested in South Korea?",1758655277.584393
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,"154,965","""Approximately 154,000 post offices as of 31 March 2017""",0.0,6,45943,609,46552,0.0367544,0.0019487999999999999,0.0387032,1758655278.598201,,20.48206639289856,0.0,0.0,,18,Answer the following question:,"As of 31 March 2017, how many post offices does the Indian Postal Service have?",1758655299.0802674
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Sports,,57,"""Isco was not given a yellow card in the 2014 Champions League semi-final between Real Madrid and Bayern Munich.""",0.0,17,348480,1419,349899,0.27878400000000003,0.0045408,0.28332480000000004,1758655300.0918887,,214.02067828178406,0.0,0.0,,19,Answer the following question:,"Within plus or minus one minute, when was Isco given a yellow card in the Champions League semi-final between Real Madrid and Bayern in 2014?",1758655514.112567
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,1985,"""1985""",1.0,3,5913,190,6103,0.0047304,0.000608,0.0053384,1758655515.1260104,,8.161985158920288,0.3333333333333333,0.00016385384237260363,,20,Answer the following question:,In which year was John B. Mortimer appointed a Judge of the High Court of Hong Kong?,1758655523.2879956
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,Cornelius Holmboe,"""Cornelius Holmboe""",1.0,3,6243,212,6455,0.0049944,0.0006784,0.0056728,1758655524.2994878,,7.581632375717163,0.3333333333333333,0.00015491866769945777,,21,Answer the following question:,Who was Christopher Hornsrud's Minister of Justice and the Police when he formed his Labour Party cabinet in 1928?,1758655531.8811202
react-c14,gpt-4.1-mini,simple-qa-100,14,0,TV shows,,Arnold,"""Arnold""",1.0,4,13876,180,14056,0.011100800000000001,0.000576,0.011676800000000001,1758655532.8926458,,8.979421854019165,0.25,7.11439954467843e-05,,22,Answer the following question:,"On The Flintstones, what is the name of the character that delivers newspapers?",1758655541.8720677
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,F Major,"""D major""",0.0,4,4907,226,5133,0.0039256000000000004,0.0007232,0.004648800000000001,1758655542.883515,,10.274293661117554,0.0,0.0,,23,Answer the following question:,"In what key was ""I Offer My Life"" by Don Moen composed?",1758655553.1578085
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Sports,,16 February 1994,"""16 February 1994""",1.0,3,6385,173,6558,0.0051080000000000006,0.0005536,0.005661600000000001,1758655554.172448,,7.4627392292022705,0.3333333333333333,0.00015248551387618176,,24,Answer the following question:,"What day, month, and year was Eyþór Ingólfsson Melsteð born?",1758655561.6351871
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,28 August 1901.,"""August 28, 1901""",1.0,5,8757,273,9030,0.0070056,0.0008736000000000001,0.0078792,1758655562.6502492,,12.498928785324097,0.2,0.00011074197120708749,,25,Answer the following question:,"On what date (month, day, year) was politician George John Sandys promoted to Lieutenant?",1758655575.149178
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,September 2015.,"""September 2015""",1.0,3,5578,230,5808,0.0044624,0.0007360000000000001,0.005198400000000001,1758655576.1659904,,7.317352294921875,0.3333333333333333,0.0001721763085399449,,26,Answer the following question:,What were the month and year when Telegram announced that the app had 60 million active users and delivered 12 billion daily messages?,1758655583.4833426
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,, Dr. Lorne Warneke,"""Dr. Lorne Warneke""",1.0,3,4084,209,4293,0.0032672,0.0006688000000000001,0.003936,1758655584.493337,,7.065837383270264,0.3333333333333333,0.00023293733985557886,,27,Answer the following question:,Who opened the first gender clinic in Canada at the Grey Nuns Community Hospital in 1996?,1758655591.5591743
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,19 of July of 2023,"""19 July 2023""",1.0,3,5516,171,5687,0.004412800000000001,0.0005472000000000001,0.004960000000000001,1758655592.5751219,,6.502082347869873,0.3333333333333333,0.00017583963425356076,,28,Answer the following question:,"What day, month, and year did the Christchurch, New Zealand, real estate agent Yanfei Bao go missing?",1758655599.0772042
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,"May 26, 2011","""The Canadian Centre for Inquiry's Think Again! TV documented one of Popoff's performances in Toronto on May 17, 1986.""",0.0,12,132102,929,133031,0.1056816,0.0029728000000000003,0.1086544,1758655600.0915885,,75.27353620529175,0.0,0.0,,29,Answer the following question:,"On what day, month, and year did the Canadian Centre for Inquiry's Think Again! TV document one of Popoff's performances in Toronto?",1758655675.3651247
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,August 2011,"""August 2011""",1.0,3,5703,177,5880,0.0045624,0.0005664,0.0051288,1758655676.379345,,7.439853191375732,0.3333333333333333,0.00017006802721088434,,30,Answer the following question:,"What month and year did Anna Paola Concia, an Italian politician and LGBT rights activist, marry her wife, Ricarda Trautmann, in Frankfurt?",1758655683.8191981
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,Stones Under Rushing Water,"""Stones Under Rushing Water""",1.0,3,6339,221,6560,0.0050712000000000005,0.0007072000000000001,0.0057784,1758655684.8335655,,7.3478922843933105,0.3333333333333333,0.0001524390243902439,,31,Answer the following question:,What Needtobreathe song is the first to feature Sara Watkins?,1758655692.1814578
react-c14,gpt-4.1-mini,simple-qa-100,14,0,History,,"American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association","""The four health organizations were the American Cancer Society, the American Heart Association, the National Tuberculosis Association, and the American Public Health Association.""",1.0,3,4087,241,4328,0.0032696000000000005,0.0007712000000000001,0.004040800000000001,1758655693.1936233,,7.356416702270508,0.3333333333333333,0.0002310536044362292,,32,Answer the following question:,What four health organizations wrote to President John F. Kennedy calling for a National Commission on Smoking?,1758655700.55004
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,"Julio Corzo
","""Julio Corzo""",1.0,4,13940,277,14217,0.011152,0.0008864000000000001,0.012038400000000001,1758655701.5674858,,9.187577247619629,0.25,7.033832735457551e-05,,33,Answer the following question:,Who was Carlos Menem's first Minister of Social Assistance and Public Health?,1758655710.755063
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,21 May 2009,"""May 2015""",0.0,15,53627,1138,54765,0.042901600000000005,0.0036416,0.04654320000000001,1758655711.7639923,,40.405662059783936,0.0,0.0,,34,Answer the following question:,"What was the date, month, and year when the Air Force Space Command allayed fears of GPS failure, saying, ""There's only a small risk we will not continue to exceed our performance standard""?",1758655752.1696544
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,10.1515/thli.2008.007,"""DOI not found in available search results""",0.0,9,12386,932,13318,0.0099088,0.0029824,0.0128912,1758655753.1792119,,27.098641633987427,0.0,0.0,,35,Answer the following question:,"What's the DOI of the paper ""Multidimensional Scaling and Other Techniques for Uncovering Universals?""",1758655780.2778535
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,444,"""444""",1.0,3,6755,218,6973,0.005404,0.0006976,0.0061016,1758655781.2903166,,7.589864492416382,0.3333333333333333,0.0001434102968593145,,36,Answer the following question:,How many people in the First Chamber of the Reichstag voted in favor of the Enabling Act of 1933?,1758655788.880181
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,Beatrice,"""Beatrice""",1.0,3,5911,175,6086,0.0047288,0.0005600000000000001,0.0052888,1758655789.8981383,,6.887460947036743,0.3333333333333333,0.00016431153466973383,,37,Answer the following question:,In which Nebraska city was painter Kathleen Gemberling Adkison born in 1917?,1758655796.7855992
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,Sindh.,"""Sindh""",1.0,4,17214,299,17513,0.0137712,0.0009568000000000001,0.014728000000000002,1758655797.8011625,,9.641316413879395,0.25,5.710043967338549e-05,,38,Answer the following question:,For which province of Pakistan was Ghulam Ishaq Khan (former Governor of the State Bank of Pakistan) appointed as the Home Secretary in the year 1956?,1758655807.442479
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,Robert Smalls,"""Robert Smalls""",1.0,3,5368,187,5555,0.0042944,0.0005984,0.0048928,1758655808.4494224,,7.054047346115112,0.3333333333333333,0.00018001800180018,,39,Answer the following question:,The Republican Party of South Carolina was co-founded by which African American in 1867?,1758655815.5034697
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,"July 9, 2016","""Rosa Whitaker Day was proclaimed by Rep. Charles Rangel on July 9, 2016.""",1.0,8,13592,534,14126,0.0108736,0.0017088,0.0125824,1758655816.5129874,,18.005188465118408,0.125,7.079144839303412e-05,,40,Answer the following question:,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?",1758655834.5181758
react-c14,gpt-4.1-mini,simple-qa-100,14,0,History,,1986,"""1986""",1.0,3,4894,207,5101,0.0039152,0.0006624000000000001,0.004577599999999999,1758655835.5381408,,7.013407945632935,0.3333333333333333,0.00019603999215840032,,41,Answer the following question:,In what year did Deborah Rhode take over from Judith Brown as Director of the Clayman Institute for Gender Research?,1758655842.5515487
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Sports,,21 October 1978,"""21 October 1978""",1.0,3,5768,141,5909,0.0046144,0.00045120000000000007,0.0050656,1758655843.5603735,,6.329691410064697,0.3333333333333333,0.00016923337282112033,,42,Answer the following question:,"What day, month, and year was Jackson Asiku, the Ugandan-Australian amateur flyweight and professional feather/super featherweight boxer, born?",1758655849.890065
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,February 2008,"""February 2008""",1.0,7,79066,478,79544,0.0632528,0.0015296,0.0647824,1758655850.9065897,,16.15067982673645,0.14285714285714285,1.2571658453183144e-05,,43,Answer the following question:,"In what month and year was Anna Yuryevna Netrebko named ""People's Artist of Russia""?",1758655867.0572696
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,Terrence Sejnowski,"""Terrence Sejnowski""",1.0,4,6406,263,6669,0.0051248000000000005,0.0008416000000000001,0.0059664,1758655868.072158,,8.780915260314941,0.25,0.000149947518368571,,44,Answer the following question:,Who received the IEEE Frank Rosenblatt Award in 2013?,1758655876.8530734
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,, four,"""The Pakistan People's Party has emerged as the leading opposition party on a national level in Pakistan 4 times until 2022.""",1.0,4,17868,318,18186,0.014294399999999999,0.0010176,0.015312,1758655877.8821425,,9.660331964492798,0.25,5.498735290883097e-05,,45,Answer the following question:,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?,1758655887.5424745
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,2018,"""2018""",1.0,3,5973,205,6178,0.0047784,0.000656,0.005434400000000001,1758655888.5589952,,7.691476106643677,0.3333333333333333,0.0001618646811265782,,46,Answer the following question:,In what year did fashion designer Mowalola Ogunlesi drop out of Central Saint Martins?,1758655896.2504714
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,1816,"""1816""",1.0,3,6206,165,6371,0.0049648,0.000528,0.0054928,1758655897.2680442,,6.638064384460449,0.3333333333333333,0.0001569612305760477,,47,Answer the following question:,"In which year was the municipality of Motavita, Boyacá, Colombia, founded?",1758655903.9061086
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,Pople,"""Pople""",1.0,3,6315,194,6509,0.005052000000000001,0.0006208,0.005672800000000001,1758655904.9196067,,7.261983394622803,0.3333333333333333,0.00015363343063450608,,48,Answer the following question:,What is the surname of the individual who won the Linus Pauling Award in 1977?,1758655912.18159
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,2006,"""2006""",1.0,6,44656,425,45081,0.0357248,0.00136,0.0370848,1758655913.1930473,,14.539380550384521,0.16666666666666666,2.2182294092855082e-05,,49,Answer the following question:,What was the year when the Dior watch booth was dedicated to the Dior canework?,1758655927.7324278
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,3,"""3""",1.0,3,5880,156,6036,0.004704,0.0004992,0.0052032,1758655928.7458746,,6.9352028369903564,0.3333333333333333,0.0001656726308813784,,50,Answer the following question:,How many daughters did the mathematician Hsien-Chung Wang have?,1758655935.6810775
react-c14,gpt-4.1-mini,simple-qa-100,14,0,History,,Mahmud Hasan Deobandi.,"""The foundation stone of Jamia Millia Islamia was laid by Mahmud Hasan Deobandi.""",1.0,4,16467,254,16721,0.0131736,0.0008128,0.013986400000000001,1758655936.7018323,,10.231750965118408,0.25,5.980503558399617e-05,,51,Answer the following question:,Who laid the foundation stone of Jamia Millia Islamia?,1758655946.9335833
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,80,"""80""",1.0,4,11065,206,11271,0.008852,0.0006592,0.009511200000000001,1758655947.9460182,,8.441673517227173,0.25,8.872327211427557e-05,,52,Answer the following question:,How old was the Brazilian physicist Cesar Lattes when he died?,1758655956.3876917
react-c14,gpt-4.1-mini,simple-qa-100,14,0,TV shows,, 25 April 2011,"""Human Planet first premiered on 13 January 2011. The exact premiere date on Discovery en Español is not publicly available.""",0.0,5,23621,403,24024,0.018896800000000002,0.0012896000000000001,0.0201864,1758655957.403163,,13.301814556121826,0.0,0.0,,53,Answer the following question:,"Which day, month, and year did the series Human Planet first premiere on Discovery en Español?",1758655970.7049775
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,May 2023.,"""May 2023""",1.0,3,4303,219,4522,0.0034424000000000004,0.0007008000000000001,0.0041432000000000005,1758655971.7162337,,7.994101285934448,0.3333333333333333,0.00022114108801415304,,54,Answer the following question:,What were the year and month the US Food and Drug Administration (FDA) approved the first RSV vaccines?,1758655979.710335
react-c14,gpt-4.1-mini,simple-qa-100,14,0,TV shows,,"Episode 2: Gluten Free Ebola, Season eighteen","""Season 18, Episode 2, titled 'Gluten Free Ebola'""",1.0,5,20931,391,21322,0.0167448,0.0012512,0.017996,1758655980.7237825,,14.254186868667603,0.2,4.689991558015196e-05,,55,Answer the following question:,In which episode and season of South Park does Aunt Jemima first appear? Give me the number and title.,1758655994.9779694
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,Jean-Baptiste Campenon,"""Jean-Baptiste Campenon""",1.0,4,16033,301,16334,0.0128264,0.0009632,0.013789599999999999,1758655995.9912193,,9.804093599319458,0.25,6.122199093914534e-05,,56,Answer the following question:,"Who was the Minister of War as part of Brisson's 1st Ministry, 6 April 1885 – 7 January 1886?",1758656005.795313
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Video games,,"A Walk in Andante, 1:18","""The 12th song on the original Kingdom Hearts I soundtrack is 'A Walk in Andante' with a length of 1:18.""",1.0,3,6451,215,6666,0.0051608,0.000688,0.0058488,1758656006.8080618,,8.586005926132202,0.3333333333333333,0.00015001500150015003,,57,Answer the following question:,What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,1758656015.3940678
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,5109 m,"""5109 meters""",1.0,4,11529,254,11783,0.009223199999999999,0.0008128,0.010036,1758656016.4064312,,11.086057186126709,0.25,8.486803021301876e-05,,58,Answer the following question:,What is the maximum depth of the Mediterranean Sea in meters?,1758656027.4924884
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,6.9 millimetres,"""6.9 millimeters""",1.0,8,32693,732,33425,0.0261544,0.0023424,0.028496800000000003,1758656028.506571,,20.978353261947632,0.125,2.9917726252804787e-05,,59,Answer the following question:,"In July 2021, how much rainfall (in millimeters) was recorded in Al Ain due to cloud-seeding efforts?",1758656049.4849243
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Sports,,Joshna Chinappa,"""Joshna Chinappa""",1.0,5,17808,305,18113,0.014246400000000001,0.000976,0.0152224,1758656050.5001242,,11.526925325393677,0.2,5.520896593606802e-05,,60,Answer the following question:,Who won the 19th edition of the Women’s Asian Individual Squash Championships (AISC)-2017?,1758656062.0270495
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,, Superboy-Prime,"""Superboy-Prime""",1.0,3,5670,165,5835,0.004536,0.000528,0.005064,1758656063.0440693,,6.905302286148071,0.3333333333333333,0.00017137960582690659,,61,Answer the following question:,Who killed Major Disaster?,1758656069.9493716
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Other,,50.,"""50""",1.0,2,1087,91,1178,0.0008696000000000001,0.00029120000000000003,0.0011608,1758656070.9780366,,4.4056408405303955,0.5,0.0008488964346349745,,62,Answer the following question:,"How old was Fatima Sydow, the famous Cape Malay chef, when she passed away?",1758656075.3836775
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,1915,"""1915""",1.0,3,5341,225,5566,0.0042728,0.00072,0.0049928,1758656076.416078,,7.950212478637695,0.3333333333333333,0.00017966223499820338,,63,Answer the following question:,"In what year did Russian mathematician Pavel Sergeevich Aleksandrov prove his first important result, namely that every non-denumerable Borel set contains a perfect subset?",1758656084.3662906
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,1840,"""1847""",0.0,3,6110,141,6251,0.004888,0.00045120000000000007,0.0053392,1758656085.3794115,,6.572988510131836,0.0,0.0,,64,Answer the following question:,"What year was the municipality of Turbo, Antioquia, Colombia, founded?",1758656091.9524
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,April 2022,"""April 2023""",0.0,19,193746,1269,195015,0.15499680000000002,0.0040608,0.15905760000000002,1758656092.9756584,,98.65261816978455,0.0,0.0,,65,Answer the following question:,"What were the month and year when WhatsApp announced updated plans to roll out a Communities feature allowing several group chats to exist in a shared space, getting unified notifications, and opening up smaller discussion groups?",1758656191.6282766
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,2.61%,"""1.42%""",0.0,5,18618,337,18955,0.0148944,0.0010784,0.0159728,1758656192.6417673,,14.119196891784668,0.0,0.0,,66,Answer the following question:,"According to the 2011 Nepal census, what percentage of the population of Nepal speaks Urdu?",1758656206.7609642
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,Chris Frazer Smith,"""Chris Frazer Smith""",1.0,4,13721,241,13962,0.010976800000000002,0.0007712000000000001,0.011748000000000001,1758656207.7740746,,23.053431034088135,0.25,7.162297665090961e-05,,67,Answer the following question:,"Who won the International Photography Awards' ""International Photographer of the Year"" award in 2003?",1758656230.8275056
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,2002.,"""1985""",0.0,5,17594,337,17931,0.0140752,0.0010784,0.0151536,1758656231.8461392,,12.298714399337769,0.0,0.0,,68,Answer the following question:,In what year was Pablo Casals inducted into the Classical Music Hall of Fame?,1758656244.1448536
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,1800,"""1800""",1.0,3,6018,162,6180,0.0048144,0.0005184,0.0053328,1758656245.1632226,,6.9441752433776855,0.3333333333333333,0.00016181229773462783,,69,Answer the following question:,"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1758656252.1073978
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,Linus Pauling,"""Linus Pauling""",1.0,4,7540,303,7843,0.006032,0.0009696,0.0070016,1758656253.1202152,,10.081791877746582,0.25,0.00012750223128904755,,70,Answer the following question:,Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,1758656263.202007
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,The Ecstasy of St. Kara,"""The Ecstasy of St. Kara""",1.0,15,291273,1082,292355,0.23301840000000001,0.0034624000000000005,0.23648080000000002,1758656264.2148008,,191.66263914108276,0.06666666666666667,3.4204990508115133e-06,,71,Answer the following question:,What is the full name of the solo exhibition Kara Walker had in 2016?,1758656455.87744
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,1964,"""1964""",1.0,3,4466,174,4640,0.0035728000000000005,0.0005568,0.004129600000000001,1758656456.8935611,,7.103307008743286,0.3333333333333333,0.00021551724137931034,,72,Answer the following question:,In what year was the Cunningham Dance Foundation established to support the Merce Cunningham Dance Company?,1758656463.9968681
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,British,"""American""",0.0,3,6420,206,6626,0.005136000000000001,0.0006592,0.0057952,1758656465.0074549,,8.305784702301025,0.0,0.0,,73,Answer the following question:,What nationality is the engineer who financed Gaulard and his development of a transformer?,1758656473.3132396
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,May 10 2023,"""May 7, 2023""",0.0,3,4678,215,4893,0.0037424,0.000688,0.0044304,1758656474.3247313,,7.425656318664551,0.0,0.0,,74,Answer the following question:,"What month, day, and year did Laura Toggs and her husband Peter Toganivalu, founders and global pastors of the youth ministry group Hillsong Young & Free, announce to the church that they were leaving Hillsong?",1758656481.7503877
