agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
baseline,gpt-4.1-mini,hotpotqa-100,13,bridge,"Who died first, Robert Baldock or Edward II of England?",Robert Baldock,Robert Baldock,1.0,1,797,96,893,1.0,0.0011198208286674132,
baseline,gpt-4.1-mini,hotpotqa-100,14,bridge,Who wrote the screenplay for the Alfred Hitchcock movie that Eva Marie Saint acted in?,Ernest Lehman,Ernest Lehman,1.0,1,800,38,838,1.0,0.0011933174224343676,
baseline,gpt-4.1-mini,hotpotqa-100,15,bridge,"Michael Faraday was an early 19th-century British scientist, he contributed to the study of electromagnetism and electrochemistry, and died on which date?",25 August 1867,"August 25, 1867",1.0,1,817,70,887,1.0,0.0011273957158962795,
baseline,gpt-4.1-mini,hotpotqa-100,16,bridge,"Who directed the 1959 American Western Film starring the actress who starred as Virginia in ""Marty?""",Budd Boetticher,Delmer Daves,0.0,1,805,64,869,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,17,bridge,What research group was formed in 2014 due to Russia's suspension?,The G7 Research Group,The Joint Institute for Nuclear Research (JINR) collaboration adjustments,0.0,1,799,82,881,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,18,bridge,"Which ITV2 documentary series did the band made up of Lee Brennan, Jimmy Constable and Simon Dawbarn reform for in 2012?","""The Big Reunion""",The Big Reunion,1.0,1,812,82,894,1.0,0.0011185682326621924,
baseline,gpt-4.1-mini,hotpotqa-100,19,comparison,Were both Strauder v. West Virginia and Lemon v. Kurtzman cases about racism?,no,No,1.0,1,803,107,910,1.0,0.001098901098901099,
baseline,gpt-4.1-mini,hotpotqa-100,20,bridge,Where are the headquarters for the company which developed the SecureEasySetup technology? ,"Irvine, California","San Jose, California, USA",0.0,1,799,64,863,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,21,bridge,The 1985 European Grand Prix was held in which town?,"West Kingsdown in Kent, England",Fawkham,0.0,1,797,81,878,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,22,bridge,What Roger Thomas designed casino was inspired by the Lake Como town of Bellagio in Italy?,Bellagio,Bellagio Hotel and Casino,1.0,1,802,73,875,1.0,0.001142857142857143,
baseline,gpt-4.1-mini,hotpotqa-100,23,bridge,When was the American former professional basketball player born who was first overall pick in the 2000 NBA draft by the Nets'? ,"December 30, 1977","December 30, 1977",1.0,1,809,64,873,1.0,0.001145475372279496,
baseline,gpt-4.1-mini,hotpotqa-100,24,bridge,Pearle Vision stores in North America are owned by a company based in what European city?,"Milan, Italy",Amsterdam,0.0,1,802,59,861,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,25,comparison,Was The Stuff of Legend an American comedy like The Boatniks?,no,No,1.0,1,798,85,883,1.0,0.0011325028312570782,
baseline,gpt-4.1-mini,hotpotqa-100,26,bridge,"Karl Kevin Marginson, is an English football manager and former player, who played in the Football League for Rotherham United, and since 2005, he has been the manager of F.C. United of Manchester, a semi-professional football club based in Moston, Manchester, in which UK country? ",England,England,1.0,1,847,57,904,1.0,0.0011061946902654867,
baseline,gpt-4.1-mini,hotpotqa-100,27,bridge,The Riegelmann Boardwalk is in what southwestern borough in New York City? ,Brooklyn,Brooklyn,1.0,1,800,59,859,1.0,0.0011641443538998836,
baseline,gpt-4.1-mini,hotpotqa-100,28,bridge,"Who did Holly Dunn record ""Daddy's Hands"" for?",MTM Records,her father,0.0,1,796,64,860,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,29,comparison,"Which airport is in Georgia, St. Pete–Clearwater International Airport or Augusta Regional Airport?  ",Augusta Regional Airport,Augusta Regional Airport,1.0,1,803,72,875,1.0,0.001142857142857143,
baseline,gpt-4.1-mini,hotpotqa-100,30,bridge,The Frito Bandito was voiced by an American voice actor who began his 60-plus-year career performing in what?,radio,radio,1.0,1,808,74,882,1.0,0.0011337868480725624,
baseline,gpt-4.1-mini,hotpotqa-100,31,bridge,"Al-Sharki was born and raised in Sana'a, a town in old Sanaa, Sana'a, also spelled Sanaa or Sana, is the largest city in which country, and the centre of Sana'a Governorate?",Yemen,Yemen,1.0,1,829,53,882,1.0,0.0011337868480725624,
baseline,gpt-4.1-mini,hotpotqa-100,32,bridge,"The biographical war film about Lyudmila Pavlichenko, the most successful female sniper in history, credits her with how many kills? ",Credited with 309 kills,309 kills,1.0,1,813,81,894,1.0,0.0011185682326621924,
baseline,gpt-4.1-mini,hotpotqa-100,33,bridge,"When did English rock band New Order record their live album ""Live at Bestival 2012?",September 2012,2012,1.0,1,804,55,859,1.0,0.0011641443538998836,
baseline,gpt-4.1-mini,hotpotqa-100,34,bridge,"Which church did the author of the book, upon whose novel Jerusalem Countdown is based, found?",Cornerstone Church,Cornerstone Church,1.0,1,803,76,879,1.0,0.0011376564277588168,
baseline,gpt-4.1-mini,hotpotqa-100,35,comparison,"Bee's Knees and Smoking Bishop, are a type of cocktail?",no,yes,0.0,1,798,72,870,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,36,bridge,"Glenn Frey, Bernie Leadon, and which other person, who is the founding member of the Eagles, sings in ""Peaceful Easy Feeling?""",Randy Herman Meisner,Don Henley,0.0,1,814,51,865,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,37,bridge,Why is Typhoon dot known by another name in other parts of the world?,"Tropical depressions that enter or form in the Philippine area of responsibility are assigned a name by the Philippine Atmospheric, Geophysical and Astronomical Services Administration or PAGASA","Because tropical cyclones have different regional naming conventions, Typhoon Dot is known by other names in different parts of the world.",1.0,1,800,106,906,1.0,0.0011037527593818985,
baseline,gpt-4.1-mini,hotpotqa-100,38,bridge,The End of Time is a two-part story and the last story for which lead actor?,David Tennant,David Tennant,1.0,1,802,74,876,1.0,0.001141552511415525,
baseline,gpt-4.1-mini,hotpotqa-100,39,comparison,"What film  evolves around two LGBTQ American athletes, National Bird or Game Face?",Game Face,Game Face,1.0,1,800,81,881,1.0,0.0011350737797956867,
baseline,gpt-4.1-mini,hotpotqa-100,40,bridge,"Clinical is a 2017 American horror thriller directed by Alistair Legrand, the film stars Kevin Rahm is an American actor, best known for his television roles as Kyle McCarty on ""Judging Amy"", Lee McDermott on ""Desperate Housewives"", and Ted Chaough on ""Mad Men"", born when? ","January 7, 1971","January 7, 1971",1.0,1,851,46,897,1.0,0.0011148272017837235,
baseline,gpt-4.1-mini,hotpotqa-100,41,bridge,What album was also the name of a tour and film directed by Albert Magnoli?,Purple Rain,Purple Rain,1.0,1,801,71,872,1.0,0.0011467889908256881,
baseline,gpt-4.1-mini,hotpotqa-100,42,bridge,"The 1991 Chicago Bears season ended with a playoff loss for their coach, who was inducted into the Pro Football Hall of Fame in what year?",1988,1988,1.0,1,814,62,876,1.0,0.001141552511415525,
baseline,gpt-4.1-mini,hotpotqa-100,43,bridge,The Wuerffel Trophy is named after a college quarterback that won the Heisman Trophy in what year?,1996,1996,1.0,1,806,68,874,1.0,0.0011441647597254005,
baseline,gpt-4.1-mini,hotpotqa-100,44,bridge,U.S. Route 95 Alternate and Interstate 80 in Nevada both travel through which town?,Fernley,Fernley,1.0,1,803,102,905,1.0,0.0011049723756906078,
baseline,gpt-4.1-mini,hotpotqa-100,45,bridge,Who directed the 2011 film in which Svetlana Ivanova starred ?,Dzhanik Fayziev.,Aleksei Uchitel,0.0,1,799,80,879,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,46,bridge,College Point borders the waterway that empties into what river?,East River,East River,1.0,1,797,106,903,1.0,0.0011074197120708748,
baseline,gpt-4.1-mini,hotpotqa-100,47,comparison,Comparison between Dashboard Confessional and Escanaba Firing Line?,rock band,"Dashboard Confessional is a more popular and influential emo/acoustic rock band, while Escanaba Firing Line is a lesser-known alternative/indie rock band with less mainstream exposure.",1.0,1,797,134,931,1.0,0.0010741138560687433,
baseline,gpt-4.1-mini,hotpotqa-100,48,comparison,Does Lucio Silla or Pelléas et Mélisande have more acts?,Pelléas et Mélisande,Pelléas et Mélisande,1.0,1,800,88,888,1.0,0.0011261261261261261,
baseline,gpt-4.1-mini,hotpotqa-100,49,bridge,"What acting star of Jet Over the Atlantic was also in such films as Scarface, Each Dawn I Die, and Some Like it Hot?",George Raft,Ralph Bellamy,0.0,1,812,105,917,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,50,bridge,What philanthropist founded ESL Music?,Eric Michael Hilton,No philanthropist founded ESL Music; it was founded by Rob Garza and Eric Hilton,0.0,1,791,89,880,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,51,comparison,Kern Island Canal and Indiana Harbor and Ship Canal are both what? ,canals,canals,1.0,1,797,54,851,1.0,0.0011750881316098707,
baseline,gpt-4.1-mini,hotpotqa-100,52,bridge,"Mark Pae was a bishop of which branch of Western Christian practices, formed after the Protestant Reformation?",Anglicanism,Anglican,1.0,1,805,60,865,1.0,0.0011560693641618498,
baseline,gpt-4.1-mini,hotpotqa-100,53,comparison,Is Apsarasas Kangri taller than Gangkhar Puensum?,no,No,1.0,1,800,89,889,1.0,0.0011248593925759281,
baseline,gpt-4.1-mini,hotpotqa-100,54,bridge,Which 90s show helped one of the stars of 'The Suburbans' rise to fame? ,Party of Five,Saturday Night Live,0.0,1,805,86,891,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,55,bridge,"Who wrote the book Power in Earth detailing the connections between the Gambino crime family, the Vatican Bank and the Franklin National Bank?",Nick Tosches,Michael Collins Piper,0.0,1,810,69,879,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,56,bridge,"Manchester United football club will participate in the cup with what nickname, of which the finals are held at Wembley Stadium in London?",Carabao Cup,The Red Devils,0.0,1,809,57,866,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,57,bridge,"What American actor was in both ""Touched by an Angel"" and ""Jack's Place""?",John Dye,John Dye,1.0,1,802,75,877,1.0,0.0011402508551881414,
baseline,gpt-4.1-mini,hotpotqa-100,58,bridge,What is the name of the race that is known as the test of the champion? ,2016 Belmont Stakes,Travers Stakes,0.0,1,801,49,850,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,59,bridge,"Elizabeth Capell, Countess of Essex's father was a supporter of what cause in the English Civil War?",Parliamentary,Royalist cause,0.0,1,806,74,880,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,60,comparison,Which of these films was released direct-to-video Eleanor's Secret or Otra Película de Huevos y un Pollo?,Otra Película de Huevos y un Pollo,Otra Película de Huevos y un Pollo,1.0,1,808,104,912,1.0,0.0010964912280701754,
baseline,gpt-4.1-mini,hotpotqa-100,61,bridge,"She Fell Among Thieves stars an actress who has worked consistently in theatre, film, and television since what year?",1953,1957,0.0,1,807,86,893,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,62,bridge,What is the name of the Taylor Swift album that has the song she premiered during the pre-show of the 2015 MTV Video Music Awards?,1989,1989,1.0,1,813,67,880,1.0,0.0011363636363636363,
baseline,gpt-4.1-mini,hotpotqa-100,63,bridge,"Who co-created this American variety television series about children demonstrating talents and engaging in conversation broadcast by NBC along with the host of ""Family Feud?""",Ellen DeGeneres,Steve Harvey,0.0,1,813,98,911,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,64,bridge,"What 1963 drama film is based on the autobiographical novel ""A Death in the Family"" by author James Agee?",All the Way Home,All the Way Home,1.0,1,810,72,882,1.0,0.0011337868480725624,
baseline,gpt-4.1-mini,hotpotqa-100,65,bridge,Where are the majority of members of the conference that the Hilltoppers are in from?,Texas,southern and eastern United States,0.0,1,802,82,884,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,66,comparison,"Which magazine inspired two pioneering conferences, Latina or ROCKRGRL?",ROCKRGRL,ROCKRGRL,1.0,1,798,98,896,1.0,0.0011160714285714285,
baseline,gpt-4.1-mini,hotpotqa-100,67,bridge,"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?",Jean Terrell,Jean Terrell,1.0,1,832,72,904,1.0,0.0011061946902654867,
baseline,gpt-4.1-mini,hotpotqa-100,68,bridge,What single from deadmau5's album was featured at a large British dance music festival?,"""Animal Rights""",Ghosts 'n' Stuff,0.0,1,803,93,896,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,69,bridge,"As well as the Brasil '66 and Brasil '77 bands, Sérgio Mendes wrote songs for which animated film in 2012?",Rio,Rio,1.0,1,811,71,882,1.0,0.0011337868480725624,
baseline,gpt-4.1-mini,hotpotqa-100,70,bridge,"Pennington is a small village and civil parish in Furness, an area of Cumbria in which country's northwestern region?",England,United Kingdom,0.0,1,809,60,869,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,71,bridge,A5117 road of Cheshire England runs just east of with Ellesmore Port outlet?,Cheshire Oaks Designer Outlet,Ellesmere Port,0.0,1,801,80,881,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,72,comparison,"Who has more occupations, Tom Robinson or Paul Weller?","Thomas Giles ""Tom"" Robinson",They have the same number of occupations,0.0,1,796,104,900,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,73,bridge,"Which American guitarist was a graduate of a public high school in Latham, Albany County, New York, United States?",Mike Campese,Vernon Reid,0.0,1,808,85,893,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,74,bridge,Arthur Forbes was a descendant of the New York socialite family from what time period?,18th and 19th centuries,19th century,0.0,1,801,91,892,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,75,bridge,What type of wagon inspired the dominant form of transportation on the improved trail through the Great Appalachian Valley from Pennsylvania to North Carolina?,Conestoga wagon,Conestoga wagon,1.0,1,809,96,905,1.0,0.0011049723756906078,
baseline,gpt-4.1-mini,hotpotqa-100,76,bridge,What 1994 action film was also directed by the director of Twister?,Speed,Speed,1.0,1,800,54,854,1.0,0.00117096018735363,
baseline,gpt-4.1-mini,hotpotqa-100,77,bridge,"Beyond the Forest featured an actor born May 15, 1905 who achieved prominence where?",Broadway,Hollywood,0.0,1,803,111,914,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,78,bridge,what govern the  public institutes that  IIT Council is the governing body for ?,"""Institutes of Technology Act, 1961",Indian Institutes of Technology (IITs),0.0,1,800,57,857,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,79,comparison,Are the bands Hole and Cage9 both American alternative rock bands?,yes,yes,1.0,1,797,75,872,1.0,0.0011467889908256881,
baseline,gpt-4.1-mini,hotpotqa-100,80,bridge,What was the ethnic group of these military pilots who fought in World War II of which Hiram Mann was a member?,African-American,African American,1.0,1,808,80,888,1.0,0.0011261261261261261,
baseline,gpt-4.1-mini,hotpotqa-100,81,bridge,The interim coach of the 1998 San Diego Chargers began his NFL coaching career with what team?,the Atlanta Falcons,New York Giants,0.0,1,804,65,869,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,82,bridge,What is the name of the book written by Otto Weininger which was published in 1903?,Sex and Character,Sex and Character,1.0,1,805,61,866,1.0,0.0011547344110854503,
baseline,gpt-4.1-mini,hotpotqa-100,83,bridge,The 1957 Cannes Film Festival opened with what film starring Cantinflas and David Niven?,Around the World in 80 Days,Around the World in 80 Days,1.0,1,804,68,872,1.0,0.0011467889908256881,
baseline,gpt-4.1-mini,hotpotqa-100,84,bridge,Yahya Abdul-Mateen II's 2017 starring movie role was directed by this individual?,Seth Gordon,Michael Gracey,0.0,1,804,68,872,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,85,bridge,Massachusetts's twelfth congressional district was represented by what censured politician?,Gerry Eastman Studds,James Michael Curley,0.0,1,798,88,886,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,86,bridge,Who acquired the publishing rights to the recent bestselling erotic romantic trilogy by Erika Mitchell?,Vintage Books,Vintage Books,1.0,1,800,70,870,1.0,0.0011494252873563218,
baseline,gpt-4.1-mini,hotpotqa-100,87,comparison,Are Malipo County and Laiwu in the same country?,yes,yes,1.0,1,796,69,865,1.0,0.0011560693641618498,
baseline,gpt-4.1-mini,hotpotqa-100,88,bridge,"The clothing company founded by Arthur Ryan is an anchor tenant of what shopping center in Redditch, England?",Kingfisher Shopping Centre,Kingfisher Shopping Centre,1.0,1,805,82,887,1.0,0.0011273957158962795,
baseline,gpt-4.1-mini,hotpotqa-100,89,bridge,"In the 32nd Filmfare Awards, Anil Kapoor won his first Filmfare Award, but who won the Best Actor award for his film Saaransh?",Anupam Kher,Anupam Kher,1.0,1,817,91,908,1.0,0.0011013215859030838,
baseline,gpt-4.1-mini,hotpotqa-100,90,bridge,"What number, representing a dimensionless quantity, is named after the winner of the 1983 Nobel Prize for Physics",Chandrasekhar number,Chandrasekhar number,1.0,1,807,88,895,1.0,0.0011173184357541898,
baseline,gpt-4.1-mini,hotpotqa-100,91,bridge,Alexander Sedyakin was executed during a campaign that occurred during what years?,1936 to 1938,1936 to 1938,1.0,1,799,80,879,1.0,0.0011376564277588168,
baseline,gpt-4.1-mini,hotpotqa-100,92,bridge,What is the name of a commercial weather service that provides real-time weather information reported by personal weather stations that have access to this international website?,Weather Underground,Weather Underground,1.0,1,812,68,880,1.0,0.0011363636363636363,
baseline,gpt-4.1-mini,hotpotqa-100,93,bridge,"Which of the actress that starred in Galveston is known for portraying Betty Cooper on The CW television series ""Riverdale?",Lili Reinhart,Lili Reinhart,1.0,1,809,92,901,1.0,0.0011098779134295228,
baseline,gpt-4.1-mini,hotpotqa-100,94,bridge,"In regards to the actor who starred in the 1994 Hong Kong kung fu film directed by Lau Kar-leung and Jackie Chan, when was he/she born?",28 July 1934,"April 7, 1954",0.0,1,817,58,875,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,95,bridge,"Spin Star is a British television game show that was broadcast on ITV, and was hosted by who?",Bradley Walsh,Bradley Walsh,1.0,1,804,44,848,1.0,0.0011792452830188679,
baseline,gpt-4.1-mini,hotpotqa-100,96,comparison,What film is older The Incredible Journey or The Three Musketeers?,The Incredible Journey,The Three Musketeers,0.0,1,798,89,887,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,97,comparison,"Who has more scope of proffesion, Hideo Gosha or Dallas M. Fitzgerald?",Dallas M. Fitzgerald,Dallas M. Fitzgerald,1.0,1,803,92,895,1.0,0.0011173184357541898,
baseline,gpt-4.1-mini,hotpotqa-100,98,bridge,Which Perrot-Warrick Senior Researcher has also given keynote addresses at The Swiss Economic Forum?,Richard Wiseman,Insufficient information to determine,0.0,1,804,88,892,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,99,bridge,"Kim Swift, an American video game designer, was described as one of the most recognized women in the industry by an American digital, print, and e-commerce media company focused on who?",millennials,video game and technology audiences,0.0,1,821,86,907,0.0,0.0,
